Issue Type,Priority,Issue key,Issue id,Summary,Assignee,Reporter,Status,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Custom field (Found in Build),Created,Resolution
Defect,2 - High,PLAT-21960,22440554,'Permission Denied' does not work with Interactive list field,,yanggossert,Closed,7.6,,,,,,,,,,,,,,,,,,,,,,7.3.1,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,7.3.1.5,15/11/2017 20:54,Fixed
Defect,2 - High,PLAT-22001,22441829,CLONE - Page running slow in IE due to javascript function,Pnolan,RHome,New,,,,,,,,,,,,,,,,,,,,,,,6.7.0,6.7.2,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,6.7.2.17,01/12/2017 12:02,
Defect,2 - High,PLAT-22056,22442633,"case id hardcoded for use of screen reports (velocity), no posiblity to get alert id directly from the screen",dhasiak,dhasiak,New,,,,,,,,,,,,,,,,,,,,,,,7.2.1,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,7.2.1.45,13/12/2017 13:09,
Defect,2 - High,PLAT-22086,22444578,CLONE - CID R5 - Getting roll back transaction error for all operations when there's some lock ,Pnolan,VSavkoor,New,7.6,,,,,,,,,,,,,,,,,,,,,,7.1.,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,7.1.1.10,19/01/2018 16:37,
Defect,2 - High,PLAT-22096,22445189,CLONE - Complete Swift message cannot be displayed if // occurs after second line of 72 field,AManayangath,peterjoos,New,,,,,,,,,,,,,,,,,,,,,,,7.2.,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.2.0.15,31/01/2018 14:13,
Defect,2 - High,PLAT-22121,22446260,CLONE - Graph not displaying values,Pnolan,Pnolan,New,7.6,,,,,,,,,,,,,,,,,,,,,,7.2.1,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,7.2.1.50,20/02/2018 16:53,
Defect,2 - High,PLAT-22144,22447455,Plaintext Password leakage,keith.mcdonnell,EClarke,New,7.6,,,,,,,,,,,,,,,,,,,,,,7.2.1,7.3.1,7.4,7.5,7.6,,,,,,,,,,,,,,,,,,Administration,,,,,7.2.1.53,08/03/2018 14:41,
Defect,2 - High,PLAT-22175,22450035,The requested screen does not exist when using WebSeal,Pnolan,maartentreunen,New,8.1,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,Administration,,,,,7.4.0.11,17/04/2018 15:12,
Defect,2 - High,PLAT-22183,22450828,"CLONE - Defect #23 - Release 2 - NetReveal UI - Using  'Back' Button logs out the user from application and give ""Cross site forgery web attack"" error message.",Pnolan,VSavkoor,Assigned,7.6,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,7.4.0.14,30/04/2018 20:18,
Defect,2 - High,PLAT-22187,22450918,NPE due to wrong value passed in to a method while fetching a BatchProcess,AManayangath,NBresnan,New,,,,,,,,,,,,,,,,,,,,,,,7.2.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.2.1.53,02/05/2018 10:28,
